sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
96,SRR12512350,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002974_SRR12512350_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002974_SRR12512350_2.fastq.gz,
97,SRR12512349,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002975_SRR12512349_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002975_SRR12512349_2.fastq.gz,
98,SRR12512348,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002976_SRR12512348_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002976_SRR12512348_2.fastq.gz,
99,SRR12512347,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002977_SRR12512347_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002977_SRR12512347_2.fastq.gz,
100,SRR12512346,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002978_SRR12512346_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002978_SRR12512346_2.fastq.gz,
101,SRR12512345,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002979_SRR12512345_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002979_SRR12512345_2.fastq.gz,
102,SRR12512344,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002980_SRR12512344_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002980_SRR12512344_2.fastq.gz,
103,SRR12512343,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002981_SRR12512343_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002981_SRR12512343_2.fastq.gz,
104,SRR12512342,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002982_SRR12512342_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002982_SRR12512342_2.fastq.gz,
105,SRR12512341,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002983_SRR12512341_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002983_SRR12512341_2.fastq.gz,
106,SRR12512340,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002984_SRR12512340_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002984_SRR12512340_2.fastq.gz,
107,SRR12512339,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002985_SRR12512339_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002985_SRR12512339_2.fastq.gz,
108,SRR12512338,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002986_SRR12512338_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002986_SRR12512338_2.fastq.gz,
109,SRR12512337,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002987_SRR12512337_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002987_SRR12512337_2.fastq.gz,
110,SRR12512336,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002988_SRR12512336_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002988_SRR12512336_2.fastq.gz,
111,SRR12512335,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002989_SRR12512335_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002989_SRR12512335_2.fastq.gz,
112,SRR12512334,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002990_SRR12512334_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002990_SRR12512334_2.fastq.gz,
113,SRR12512333,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002991_SRR12512333_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002991_SRR12512333_2.fastq.gz,
114,SRR12512332,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002992_SRR12512332_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002992_SRR12512332_2.fastq.gz,
115,SRR12512331,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002993_SRR12512331_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002993_SRR12512331_2.fastq.gz,
116,SRR12512330,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002994_SRR12512330_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002994_SRR12512330_2.fastq.gz,
117,SRR12512329,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002995_SRR12512329_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002995_SRR12512329_2.fastq.gz,
118,SRR12512328,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002996_SRR12512328_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002996_SRR12512328_2.fastq.gz,
119,SRR12512327,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002997_SRR12512327_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002997_SRR12512327_2.fastq.gz,
120,SRR12512326,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002998_SRR12512326_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002998_SRR12512326_2.fastq.gz,
121,SRR12512325,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002999_SRR12512325_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9002999_SRR12512325_2.fastq.gz,
122,SRR12512324,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003000_SRR12512324_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003000_SRR12512324_2.fastq.gz,
123,SRR12512323,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003001_SRR12512323_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003001_SRR12512323_2.fastq.gz,
124,SRR12512322,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003002_SRR12512322_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003002_SRR12512322_2.fastq.gz,
125,SRR12512321,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003003_SRR12512321_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003003_SRR12512321_2.fastq.gz,
126,SRR12512320,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003004_SRR12512320_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003004_SRR12512320_2.fastq.gz,
127,SRR12512319,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003005_SRR12512319_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003005_SRR12512319_2.fastq.gz,
128,SRR12512318,ILLUMINA,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003006_SRR12512318_1.fastq.gz,/project/60005/mdprieto/cf_seed_2023/raw_data/ncfb_data/fastq/SRX9003006_SRR12512318_2.fastq.gz,
